30
  This energy is -0.00221361 and Call times are: 63
C	0.642465	1.14154	-0.450717
N	-0.112819	1.27813	-1.57275
C	-1.09177	0.373743	-1.81889
C	0.373178	0.0590471	0.413022
C	-0.669707	-0.804452	0.0391466
N	-1.43556	-0.69426	-1.06697
H	-1.66277	0.529179	-2.72545
N	1.61974	2.04817	-0.209227
H	1.75943	2.79743	-0.867019
H	2.19576	1.9742	0.612747
N	0.953678	-0.352716	1.61815
C	0.274605	-1.43926	1.96044
N	-0.720419	-1.75896	1.04044
H	0.450832	-2.02855	2.84499
H	-1.36492	-2.53218	1.07704
C	5.6879	2.12815	-1.75138
C	5.29266	0.936518	-0.927226
H	6.73733	2.05888	-2.06008
H	5.59624	3.05286	-1.17009
H	5.0665	2.21724	-2.64758
C	6.03594	0.683175	0.309602
C	4.29055	0.0855814	-1.2628
N	3.95019	-1.00737	-0.478929
H	3.70112	0.213584	-2.16239
N	5.61542	-0.450038	1.03602
C	4.5935	-1.33473	0.712661
H	6.11568	-0.643945	1.89482
H	3.20046	-1.62614	-0.749824
O	4.2781	-2.31749	1.40592
O	6.97632	1.38658	0.73088
