25
  This energy is -0.00814547 and Call times are: 93
C	-1.80216	1.70796	-1.16808
O	-2.55644	0.750753	-1.17576
O	-0.877543	1.90198	-0.166324
H	-1.7926	2.4871	-1.9451
H	-0.342276	2.71191	-0.293239
C	1.06515	-3.7612	1.00524
O	1.71696	-4.78545	0.845093
O	0.268371	-3.23502	0.0258748
H	1.06382	-3.18209	1.9397
H	-0.192256	-2.40849	0.306426
C	-0.847989	-0.369769	2.09607
O	-0.107442	-0.941116	2.87404
O	-1.05373	-0.866708	0.818067
H	-1.40145	0.550881	2.31372
H	-1.66461	-0.342361	0.262323
C	1.64183	3.46499	-1.81349
O	0.804103	3.90361	-1.04468
O	1.73107	2.12316	-2.10944
H	2.38679	4.0892	-2.32954
H	2.45064	1.91917	-2.74127
C	2.22742	0.138455	-0.294997
O	2.66668	1.13224	0.256988
O	2.62118	-1.1313	0.0638169
H	1.49179	0.166209	-1.11291
H	2.1851	-1.82966	-0.466023
