20
  This energy is -0.00263514 and Call times are: 93
C	0.765623	0.241614	0.716474
O	-0.100369	0.0610811	-0.190531
O	0.914132	-0.533122	1.77106
H	1.45476	1.08334	0.658914
H	0.268409	-1.32876	1.83138
C	-1.65238	-2.70077	0.89125
O	-0.793786	-2.50595	1.77822
O	-1.84077	-1.94527	-0.188529
H	-2.3439	-3.54104	0.934552
H	-1.20833	-1.15203	-0.255658
C	1.02534	2.80309	-1.81897
O	1.73884	2.71779	-0.810149
O	0.027899	1.95566	-2.14659
H	1.12744	3.5895	-2.56904
H	-0.0906319	1.21874	-1.47312
C	4.43348	0.106938	-0.408135
O	5.44394	-0.574088	-0.478618
O	3.9315	0.459738	0.774685
H	3.93759	0.429181	-1.32299
H	4.46089	0.112343	1.48379
